Run,Assay Type,AvgSpotLen,Bank,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Drug_concentration_ug/ml,Experiment,Generations,Genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,Strain,TEST,Time,TREATMENT
SRR7686615,Tn-Seq,51,G9,538978710,PRJNA485590,SAMN09810092,"Microbe\, viral or environmental",248363157,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547300,0_generations_broth,gyrA,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_0_CIP_BG9_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_0_CIP_BG9_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686616,Tn-Seq,51,G9,408663867,PRJNA485590,SAMN09810093,"Microbe\, viral or environmental",192944040,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1.1,SRX4547299,7-8_generations_broth,gyrA,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_1_1_CIP_BG9_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_1_1_CIP_BG9_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686617,Tn-Seq,51,G9,412526760,PRJNA485590,SAMN09810094,"Microbe\, viral or environmental",194374049,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547298,7-8_generations_broth,gyrA,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_0_CIP_BG9_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_0_CIP_BG9_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686618,Tn-Seq,51,GP1,527734791,PRJNA485590,SAMN09810095,"Microbe\, viral or environmental",268238969,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547297,0_generations_broth,gyrAparC,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_0_CIP_BGP1_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_0_CIP_BGP1_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686619,Tn-Seq,51,G7,355808283,PRJNA485590,SAMN09810088,"Microbe\, viral or environmental",167670188,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547296,7-8_generations_broth,gyrA,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_0_CIP_BG7_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_0_CIP_BG7_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686620,Tn-Seq,51,G8,665414289,PRJNA485590,SAMN09810089,"Microbe\, viral or environmental",314279006,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547295,0_generations_broth,gyrA,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_0_CIP_BG8_T1_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_0_CIP_BG8_T1_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T1,CIP
SRR7686621,Tn-Seq,51,G8,456401856,PRJNA485590,SAMN09810090,"Microbe\, viral or environmental",213181290,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1.1,SRX4547294,7-8_generations_broth,gyrA,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_1_1_CIP_BG8_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_1_1_CIP_BG8_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686622,Tn-Seq,51,G8,459236691,PRJNA485590,SAMN09810091,"Microbe\, viral or environmental",215107038,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547293,7-8_generations_broth,gyrA,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_0_CIP_BG8_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_0_CIP_BG8_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686623,Tn-Seq,51,GP1,604205262,PRJNA485590,SAMN09810096,"Microbe\, viral or environmental",305193941,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",13-14,SRX4547292,7-8_generations_broth,gyrAparC,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_13_CIP_BGP1_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_13_CIP_BGP1_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
SRR7686624,Tn-Seq,51,GP1,910985970,PRJNA485590,SAMN09810097,"Microbe\, viral or environmental",493666352,TUFTS UNIVERSITY SCHOOL OF MEDICINE,2018,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,SRX4547291,7-8_generations_broth,gyrAparC,USA,North America,USA:Boston,Not Applicable,Illumina HiSeq 2500,GYRA_PARC_0_CIP_BGP1_T2_1,SINGLE,PCR,METAGENOMIC,Acinetobacter baumannii,ILLUMINA,2018-08-11T00:00:00Z,GYRA_PARC_0_CIP_BGP1_T2_1,Broth Culture,SRP157243,ATCC 17978,TEST-1,T2,CIP
